,EightCig,,,,Inventory by Part
,"3010 E Alexander Rd
Ste #1002
North Las Vegas, NV 89030
(702) 415-5263  
info@eightcig.com",,,,
,,,,,Print Date: 10/24/2019
Part Number,,Qty On Order,Available for Sale,Available to Pick,
In Transit,,,,,
H07555,,0,10,0,
KIOSK,,,,,
H03942,,0,0,20,
H03943,,0,0,17,
H03945,,0,0,23,
H03952,,0,0,30,
H04174,,0,0,42,
H04761,,0,0,26,
H04762,,0,0,29,
H04763,,0,0,30,
H04765,,0,0,37,
H05564,,0,-1,20,
H05621,,0,0,19,
H05622,,0,0,30,
H05627,,0,0,23,
H06586,,0,0,9,
H06587,,0,0,12,
H06588,,0,0,13,
H06589,,0,0,5,
H06590,,0,0,9,
H06591,,0,0,15,
H06592,,0,0,8,
H06593,,0,0,7,
H06639,,0,0,5,
H06640,,0,0,4,
H06641,,0,0,5,
Part Number,Qty On Order,Available for Sale,Available to Pick
H06642,0,0,5
H06643,0,0,4
H06644,0,0,5
H06645,0,0,4
H06646,0,0,5
H06647,0,0,33
H06875,0,0,8
H06876,0,0,5
H06877,0,0,9
H06878,0,0,10
H06901,0,0,4
H06988,0,0,5
H06989,0,0,13
H07041,0,0,28
H07057,0,0,13
H07058,0,0,10
H07074,0,0,46
H07089,0,0,10
H07090,0,0,9
H07553,0,0,10
H07554,0,0,10
North,,,
B000002,3,1,1
B000004,10,0,0
B000005,1,2,2
B000006,47,0,0
H00048,0,370,173
H00049,0,-2,0
H00068,0,190,190
H00070,0,93,93
H00088,0,690,250
H00093,0,11,11
H00103,0,4,4
Part Number,Qty On Order,Available for Sale,Available to Pick
H00107,0,174,174
H00114,0,143,143
H00120,0,0,0
H00121,0,37,37
H00122,0,23,23
H00125,0,8,8
H00126,0,4,4
H00134,0,69,69
H00137,0,183,23
H00138,0,0,0
H00140,0,9,9
H00141,0,18,18
H00144,0,15,15
H00145,0,22,22
H00152,0,187,191
H00153,0,197,129
H00154,0,198,198
H00155,0,125,125
H00156,0,297,97
H00160,0,1,1
H00163,0,0,0
H00166,0,51,52
H00167,0,0,0
H00169,0,160,160
H00171,0,180,180
H00173,0,141,141
H00183,0,28,28
H00190,0,145,145
H00195,0,270,270
H00197,0,0,0
