,,,,,,,Sales Quantity by Month,,,
,EightCig,,,,,,,,,
,"3010 E Alexander Rd
Ste #1002
North Las Vegas, NV 89030
(702) 415-5263  
info@eightcig.com",,,,,,,,,
,,,,,Date Range: 01/01/2019 - 12/31/2019,,,,,
,,,,2019,,,,,,Total
,,,,January,,February,,March,Year Total,
LV1000004,,"GeekVape Aegis Kit Without Battery, Gunmetal",ea,16,,2,,0,18,18
LV1000015,,GeekVape Loop 24mm RDA Gunmetal,ea,1,,5,,0,6,6
LV1000031,,Clown Crush 30ML 3MG,ea,1,,2,,0,3,3
LV1000037,,Bad Drip Farley's Gnarly Sauce 30ML 3MG,ea,2,,2,,0,4,4
LV1000040,,Bad Drip Cereal Trip 30ML 3MG,ea,2,,1,,0,3,3
LV1000043,,Bad Drip Bad Blood 30ML 3MG,ea,2,,1,,0,3,3
LV1000046,,Bad Drip Dont Care Bear 30ML 3MG,ea,2,,0,,0,2,2
LV1000048,,Clown Skitzo 60ML 0MG,ea,1,,1,,0,2,2
LV1000049,,Clown Skitzo 60ML 3MG,ea,7,,3,,1,11,11
LV1000050,,Clown Skitzo 60ML 6MG,ea,2,,5,,1,8,8
LV1000051,,Clown Drooly 60ML 0MG,ea,8,,2,,2,12,12
LV1000052,,Clown Drooly 60ML 3MG,ea,39,,34,,12,85,85
LV1000053,,Clown Drooly 60ML 6MG,ea,13,,11,,2,26,26
LV1000055,,Bad Drip Ugly Butter 30ML 3MG,ea,2,,1,,0,3,3
LV1000070,,Kendo Man 100ml - 0mg,ea,4,,1,,1,6,6
LV1000072,,Kendo Man 100ml - 3mg,ea,20,,14,,6,40,40
LV1000073,,Kendo Man 100ml - 6mg,ea,9,,5,,1,15,15
LV1000075,,Smok Stick Aio Kit Coil - .6ohm (Pack of 5),ea,25,,29,,3,57,57
LV1000076,,By The Pound 60ml Coco - 0mg,ea,1,,1,,0,2,2
LV1000077,,By The Pound 60ml Coco - 3mg,ea,29,,12,,2,43,43
,,,2019,,,,Total
,,,January,February,March,Year Total,
LV1000078,By The Pound 60ml Coco - 6mg,ea,10,0,0,10,10
LV1000079,By The Pound 60ml Lemon Berry - 0mg,ea,2,0,0,2,2
LV1000080,By The Pound 60ml Lemon Berry - 3mg,ea,11,13,0,24,24
LV1000081,By The Pound 60ml Lemon Berry - 6mg,ea,2,3,0,5,5
LV1000082,By The Pound 60ml Milk - 0mg,ea,1,5,3,9,9
LV1000083,By The Pound 60ml Milk - 3mg,ea,43,31,17,91,91
LV1000084,By The Pound 60ml Milk - 6mg,ea,33,9,5,47,47
LV1000085,By The Pound 60ml Peaches and Cream - 0mg,ea,0,5,0,5,5
LV1000086,By The Pound 60ml Peaches and Cream - 3mg,ea,17,6,3,26,26
LV1000087,By The Pound 60ml Peaches and Cream - 6mg,ea,11,11,1,23,23
LV1000088,Country Clouds 60ml Banana Bread Puddin - 0mg,ea,17,20,4,41,41
LV1000089,Country Clouds 60ml Banana Bread Puddin - 3mg,ea,47,27,1,75,75
LV1000090,Country Clouds 60ml Banana Bread Puddin - 6mg,ea,9,16,0,25,25
LV1000091,Country Clouds 60ml Chocolate Puddin Pie - 0mg,ea,21,5,1,27,27
LV1000092,Country Clouds 60ml Chocolate Puddin Pie - 3mg,ea,52,0,0,52,52
LV1000093,Country Clouds 60ml Chocolate Puddin Pie - 6mg,ea,21,4,0,25,25
LV1000094,Country Clouds 60ml Corn Bread Pudding  - 0mg,ea,29,26,1,56,56
LV1000095,Country Clouds 60ml Corn Bread Pudding  - 3mg,ea,149,61,74,284,284
LV1000096,Country Clouds 60ml Corn Bread Pudding  - 6mg,ea,69,67,15,151,151
LV1000097,Country Clouds 60ml Lemon Puddin Pie  - 0mg,ea,2,3,0,5,5
,,,2019,,,,Total
,,,January,February,March,Year Total,
LV1000098,Country Clouds 60ml Lemon Puddin Pie  - 3mg,ea,29,7,2,38,38
LV1000099,Country Clouds 60ml Lemon Puddin Pie  - 6mg,ea,9,5,3,17,17
LV1000100,Twisted Sour Peach 100ml - 0mg,ea,4,0,1,5,5
LV1000101,Twisted Sour Peach 100ml - 3mg,ea,43,5,6,54,54
LV1000102,Twisted Sour Peach 100ml - 6mg,ea,23,7,3,33,33
LV1000103,Twisted Sour Strawberry 100ml - 0mg,ea,5,1,0,6,6
LV1000104,Twisted Sour Strawberry 100ml - 3mg,ea,23,67,8,98,98
LV1000105,Twisted Sour Strawberry 100ml - 6mg,ea,15,10,3,28,28
LV1000106,Twisted Sour Blue Razz 100ml - 0mg,ea,8,10,0,18,18
LV1000107,Twisted Sour Blue Razz 100ml - 3mg,ea,58,38,12,108,108
LV1000108,Twisted Sour Blue Razz 100ml - 6mg,ea,29,14,0,43,43
LV1000109,Twisted Sour Lemon Lime 100ml - 0mg,ea,3,10,1,14,14
LV1000110,Twisted Sour Lemon Lime 100ml - 3mg,ea,21,71,0,92,92
LV1000111,Twisted Sour Lemon Lime 100ml - 6mg,ea,9,24,10,43,43
LV1000112,Aqua Mist Salt 30ml - 35mg,ea,10,10,0,20,20
LV1000113,Aqua Mist Salt 30ml - 50mg,ea,65,28,27,120,120
LV1000114,Aqua Flow Salt 30ml - 35mg,ea,2,35,0,37,37
LV1000115,Aqua Flow Salt 30ml - 50mg,ea,22,31,19,72,72
LV1000116,Aqua Oasis Salt 30ml - 35mg,ea,32,18,13,63,63
LV1000117,Aqua Oasis Salt 30ml - 50mg,ea,10,7,10,27,27
LV1000118,Aqua Pure Salt 30ml - 35mg,ea,31,39,0,70,70
LV1000119,Aqua Pure Salt 30ml - 50mg,ea,96,40,24,160,160
,,,2019,,,,Total
,,,January,February,March,Year Total,
LV1000120,Aqua Rainbow Drops Salt 30ml - 35mg,ea,52,57,12,121,121
LV1000121,Aqua Rainbow Drops Salt 30ml - 50mg,ea,117,62,31,210,210
LV1000126,Digiflavor Themis Mesh RTA - Silver,ea,7,0,0,7,7
LV1000127,Junky's Stash Buried Yesterday ICE 100ml 0MG,ea,15,18,2,35,35
LV1000128,Junky's Stash Buried Yesterday ICE 100ml 3MG,ea,156,163,30,349,349
LV1000129,Junky's Stash Buried Yesterday ICE 100ml 6MG,ea,37,84,18,139,139
LV1000130,Junky's Stash A Chill Day ICE 100ml 0MG,ea,16,23,2,41,41
LV1000131,Junky's Stash A Chill Day ICE 100ml 3MG,ea,88,151,39,278,278
LV1000132,Junky's Stash A Chill Day ICE 100ml 6MG,ea,110,47,16,173,173
LV1000133,Junky's Stash The Old Stuff ICE 100ml 0MG,ea,7,10,0,17,17
LV1000134,Junky's Stash The Old Stuff ICE 100ml 3MG,ea,24,58,17,99,99
LV1000135,Junky's Stash The Old Stuff ICE 100ml 6MG,ea,13,32,16,61,61
LV1000136,Vaporesso Cascade One Starter Kit Silver,ea,1,0,0,1,1
LV1000140,Vaporesso Cascade One Starter Kit Gold,ea,16,0,0,16,16
LV1000142,Vaporesso Nexus Starter Kit Silver,ea,4,14,0,18,18
LV1000143,Vaporesso Nexus Starter Kit Blue,ea,41,7,6,54,54
LV1000144,Vaporesso Nexus Starter Kit Black,ea,11,17,4,32,32
LV1000145,Vaporesso Nexus Starter Kit Orange,ea,5,6,1,12,12
LV1000146,Vaporesso Nexus Starter Kit Green,ea,6,5,1,12,12
LV1000147,Vaporesso Nexus Starter Kit Purple,ea,4,11,1,16,16
,,,2019,,,,Total
,,,January,February,March,Year Total,
LV1000148,Vaporesso Nexus Starter Kit Ruby,ea,9,11,3,23,23
LV1000149,Vaporesso Nexus Starter Kit Dark Blue,ea,55,13,2,70,70
LV1000152,Desire X Mini 108W Box Mod White,ea,1,0,0,1,1
LV1000153,Desire X Mini 108W Box Mod Red,ea,1,0,0,1,1
LV1000154,Desire X Mini 108W Box Mod Blue,ea,3,0,0,3,3
LV1000160,Desire M 25mm Tank Black,ea,3,4,0,7,7
LV1000163,Desire M 25mm Tank Silver,ea,2,3,0,5,5
LV1000171,Desire Mad Dog V2 24mm RDA Gold,ea,4,0,0,4,4
LV1000172,Desire Mad Dog V2 24mm RDA Blue,ea,3,0,0,3,3
LV1000173,Desire Mad Dog V2 24mm RDA Purple,ea,4,0,0,4,4
LV1000174,Desire Mad Dog V2 24mm RDA Red,ea,3,0,0,3,3
LV1000175,Desire Mad Dog V2 24mm RDA Black,ea,4,3,1,8,8
LV1000176,Desire Mad Dog V2 24mm RDA White,ea,6,1,1,8,8
LV1000177,Coil Master DIY Kit Mini V2,ea,236,277,18,531,531
LV1000183,Wismec Reuleaux RXGEN3 Dual Kit Gold,ea,18,8,0,26,26
LV1000189,Wismec Reuleaux RXGEN3 Dual Mod Gold,ea,1,0,0,1,1
LV1000197,Aspire Revvo Tank-Rainbow,ea,36,18,1,55,55
LV1000198,Aspire Revvo Tank-Blue,ea,21,25,3,49,49
LV1000200,Vaporesso Swag Starter Kit - Red,ea,40,20,2,62,62
LV1000207,Vaporesso Cascade One Plus Kit Purple,ea,17,0,0,17,17
LV1000208,Vaporesso Cascade One Plus Kit Gold,ea,17,14,6,37,37
,,,2019,,,,Total
,,,January,February,March,Year Total,
LV1000212,Vaporesso Cascade One Plus Kit Silver,ea,1,0,0,1,1
LV1000213,Vaporesso Cascade One GT Mesh Coil 0.18ohm (Pack of 3),ea,0,245,122,367,367
LV1000214,Vaporesso Cascade One GT CCELL2 Coil 0.3ohm (Pack of 3),ea,11,43,37,91,91
LV1000216,Sigelei Top1 Mod Only Army Camo,ea,24,0,0,24,24
LV1000219,Smoant S8 Pod Starter Kit Black,ea,11,0,0,11,11
LV1000220,Smoant S8 Pod Cartridge 2ml,ea,300,0,0,300,300
LV1000239,Vaporesso Cascade One Plus SE Kit Black,ea,31,19,0,50,50
LV1000240,Vaporesso Cascade One Plus SE Kit Gold,ea,27,7,0,34,34
LV1000241,Vaporesso Cascade One Plus SE Kit Red,ea,1,0,0,1,1
LV1000242,Vaporesso Cascade One Plus SE Kit Green,ea,3,0,0,3,3
LV1000255,Vaporesso Cascade Mini Tank Silver,ea,1,0,0,1,1
LV1000256,Vaporesso Cascade Mini Tank Blue,ea,7,5,0,12,12
LV1000258,Vaporesso Cascade Mini Tank Black,ea,1,0,0,1,1
LV1000259,Vaporesso Cascade Mini Tank Gold,ea,4,1,0,5,5
LV1000262,Smok Stick Prince Kit Black Spray White,ea,32,28,0,60,60
LV1000263,Smok Stick Prince Kit Black Spray Green,ea,20,0,0,20,20
LV1000264,Smok TFV12 Prince Tank Red Camo,ea,68,39,19,126,126
LV1000265,Smok TFV12 Prince Tank Camo,ea,22,18,7,47,47
LV1000268,Smok Stick Prince Kit Rasta Red,ea,20,0,0,20,20
,,,2019,,,,Total
,,,January,February,March,Year Total,
LV1000269,Smok Stick Prince Kit Rasta Green,ea,26,52,2,80,80
LV1000272,Smok Stick Prince Kit Orange,ea,14,38,22,74,74
LV1000273,Smok Stick Prince Kit Red Camo,ea,79,84,25,188,188
LV1000274,Smok Stick Prince Kit Camo,ea,8,0,0,8,8
LV1000275,Smok Vape Pen 22 Kit Gold,ea,0,21,23,44,44
LV1000276,Smok Vape Pen 22 Mesh Coil (5 pack),ea,60,107,31,198,198
LV1000277,Smok Resa Stick Kit Rainbow,ea,12,0,0,12,12
LV1000278,Smok Resa Stick Kit Black,ea,7,0,0,7,7
LV1000279,Smok Resa Stick Kit Yellow,ea,26,2,0,28,28
LV1000280,Smok Resa Stick Kit Purple,ea,3,0,0,3,3
LV1000281,Smok Resa Stick Kit Green,ea,22,1,0,23,23
LV1000282,Smok Resa Stick Kit Blue,ea,17,0,0,17,17
LV1000283,Smok Resa Stick Kit Red,ea,48,1,0,49,49
LV1000284,Smok Resa Stick Kit Pink,ea,4,0,0,4,4
LV1000285,Smok Resa Stick Kit White,ea,1,0,0,1,1
LV1000288,Smok V8 Baby Mesh Coil 5 Pack,ea,"2,230",37,1,"2,268","2,268"
LV1000289,Burst Blizzard E Liquid Straw-Burst 60ml 0MG,ea,6,0,5,11,11
LV1000290,Burst Blizzard E Liquid Straw-Burst 60ml 3MG,ea,60,17,15,92,92
LV1000291,Burst Blizzard E Liquid Straw-Burst 60ml 6MG,ea,22,8,6,36,36
LV1000292,Burst Blizzard E Liquid Berry-Burst 60ml 0MG,ea,8,13,0,21,21
LV1000293,Burst Blizzard E Liquid Berry-Burst 60ml 3MG,ea,64,52,24,140,140
